input_address,latitude,longitude,postal_code,city,province/state,country
64 Aspen Forest Point,49.8071799,-97.1785376,R3Y 1R7,Winnipeg,Manitoba,Canada
38 Lake Forest Road,49.8090512,-97.1781723,R3T 6A9,Winnipeg,Manitoba,Canada
15 Prominence Point,49.807776,-97.1804365,R3T 6A9,Winnipeg,Manitoba,Canada
31 Prominence Point,49.807776,-97.1804365,R3T 6A9,Winnipeg,Manitoba,Canada
51 Prominence Point,49.807776,-97.1804365,R3T 6A9,Winnipeg,Manitoba,Canada
54 Prominence Point,49.807776,-97.1804365,R3T 6A9,Winnipeg,Manitoba,Canada
58 Prominence Point,49.807776,-97.1804365,R3T 6A9,Winnipeg,Manitoba,Canada
27 Clovercrest Bay,49.8073261,-97.1885891,R3Y 2C3,Winnipeg,Manitoba,Canada
107 Bridlewood Road,49.806418,-97.1847865,R3Y 2B3,Winnipeg,Manitoba,Canada
2 Ashgrove Point,49.8053261,-97.188008,R3Y 2B3,Winnipeg,Manitoba,Canada
15 Edington Point,49.805543,-97.1886,R3Y 2B3,Winnipeg,Manitoba,Canada
19 Edington Point,49.805543,-97.1886,R3Y 2B3,Winnipeg,Manitoba,Canada
31 Forest Creek Road,49.8014563,-97.1913165,R3Y 2C3,Winnipeg,Manitoba,Canada
53 Oak Lawn Road,49.8017277,-97.1922262,R3Y 2C3,Winnipeg,Manitoba,Canada
65 Oak Lawn Road,49.8017277,-97.1922262,R3Y 2C3,Winnipeg,Manitoba,Canada
85 Oak Lawn Road,49.8017277,-97.1922262,R3Y 2C3,Winnipeg,Manitoba,Canada
233 Oak Lawn Road,49.8030679,-97.1908022,R3Y 2C3,Winnipeg,Manitoba,Canada
124 North Town Road,49.7991062,-97.1938126,R3Y 2C3,Winnipeg,Manitoba,Canada
176 North Town Road,49.7991062,-97.1938126,R3Y 2C3,Winnipeg,Manitoba,Canada
520 Bridgeland Drive North,49.8089778,-97.176395,R3T 5V7,Winnipeg,Manitoba,Canada
127 Park Valley Road,49.8004849,-97.1865372,R3Y 2H1,Winnipeg,Manitoba,Canada
145 Park Valley Road,49.8004849,-97.1865372,R3Y 2H1,Winnipeg,Manitoba,Canada
149 Park Valley Road,49.8004849,-97.1865372,R3Y 2H1,Winnipeg,Manitoba,Canada
153 Park Valley Road,49.8004849,-97.1865372,R3Y 2H1,Winnipeg,Manitoba,Canada
159 Park Valley Road,49.8004849,-97.1865372,R3Y 2H1,Winnipeg,Manitoba,Canada
169 Park Valley Road,49.8004849,-97.1865372,R3Y 2H1,Winnipeg,Manitoba,Canada
185 Park Valley Road,49.8004849,-97.1865372,R3Y 2H1,Winnipeg,Manitoba,Canada
58 Highland Creek Road,49.8058782,-97.1793661,R3Y 1R7,Winnipeg,Manitoba,Canada
125 Highland Creek Road,49.8045585,-97.1841485,R3Y 2H1,Winnipeg,Manitoba,Canada
157 Highland Creek Road,49.8059726,-97.1790395,R3Y 1R7,Winnipeg,Manitoba,Canada
184 Highland Creek Road,49.8045585,-97.1841485,R3Y 2H1,Winnipeg,Manitoba,Canada
188 Highland Creek Road,49.8045585,-97.1841485,R3Y 2H1,Winnipeg,Manitoba,Canada
